Concept,semantic_fiel,POS,vi,hi,vi-hi,Rankg
gebenV,Possession,Verb,0.835,0.278,0.556,1
fliegenV,Motion,Verb,0.793,0.264,0.529,2
brennenV,The physical world,Verb,0.766,0.244,0.522,3
weckenV,NA,Verb,0.725,0.208,0.517,4
lebendigA,NA,Adjective,0.824,0.313,0.511,5
KalteN,NA,Noun,0.763,0.253,0.511,6
SchattenN,The physical world,Noun,0.783,0.272,0.511,7
flieenV,Motion,Verb,0.779,0.275,0.504,8
neunzigNUM,NA,Numerical,0.821,0.316,0.504,9
regnenV,NA,Verb,0.817,0.316,0.501,10
wieFADV,Cognition,Interrogative (adv.),0.696,0.199,0.497,11
funfzigNUM,NA,Numerical,0.822,0.327,0.495,12
fliehenV,Motion,Verb,0.797,0.306,0.491,13
lachenV,Emotions and values,Verb,0.794,0.306,0.488,14
nichtADV,Miscellaneous function words,Adverb,0.789,0.301,0.488,15
machenV,Basic actions and technology,Verb,0.757,0.27,0.487,16
sagenV,Speech and language,Verb,0.758,0.272,0.486,17
warmA,Sense perception,Adjective,0.761,0.276,0.484,18
unterPRP,Spatial relations,Preposition,0.776,0.293,0.483,19
stohnenV,Emotions and values,Verb,0.705,0.223,0.482,20
rennenV,Motion,Verb,0.795,0.314,0.481,21
SchlafN,NA,Noun,0.69,0.209,0.48,22
SchwesterN,Kinship,Noun,0.72,0.24,0.48,23
stehlenV,Law,Verb,0.735,0.256,0.479,24
erkennenV,NA,Verb,0.813,0.335,0.478,25
tunV,Basic actions and technology,Verb,0.792,0.314,0.477,26
neuA,Time,Adjective,0.759,0.282,0.477,27
RauchN,The physical world,Noun,0.804,0.332,0.473,28
ersterA,Quantity,Adjective,0.766,0.296,0.47,29
einschlafenV,NA,Verb,0.75,0.282,0.468,30
SteinN,NA,Noun,0.782,0.314,0.468,31
KohleN,The physical world,Noun,0.77,0.302,0.467,32
fegenV,Basic actions and technology,Verb,0.754,0.287,0.467,33
furchtenV,NA,Verb,0.737,0.27,0.467,34
spielenV,Emotions and values,Verb,0.681,0.218,0.463,35
bitterA,Sense perception,Adjective,0.733,0.273,0.46,36
hierADV,Miscellaneous function words,Adverb,0.742,0.282,0.46,37
rauchenV,NA,Verb,0.723,0.264,0.458,38
zuhorenV,Sense perception,Verb,0.727,0.269,0.458,39
RegenbogenN,The physical world,Noun,0.715,0.257,0.458,40
FrostN,NA,Noun,0.715,0.258,0.458,41
dunkelA,Sense perception,Adjective,0.796,0.339,0.457,42
MausN,NA,Noun,0.747,0.291,0.456,43
abschneidenV,NA,Verb,0.642,0.186,0.456,44
GrasN,Agriculture and vegetation,Noun,0.778,0.322,0.456,45
liegenV,NA,Verb,0.674,0.219,0.455,46
ArmN,The body,Noun,0.798,0.344,0.455,47
breitA,Spatial relations,Adjective,0.725,0.27,0.454,48
StutzeN,NA,Noun,0.73,0.277,0.454,49
kehrenV,Basic actions and technology,Verb,0.662,0.209,0.453,50
trockenA,Sense perception,Adjective,0.786,0.334,0.453,51
FleischN,Food and drink,Noun,0.753,0.301,0.452,52
SohnN,Kinship,Noun,0.797,0.346,0.451,53
stehenV,Spatial relations,Verb,0.795,0.345,0.45,54
feuchtA,NA,Adjective,0.78,0.33,0.449,55
GelachterN,NA,Noun,0.688,0.239,0.449,56
steckenV,NA,Verb,0.711,0.263,0.448,57
SchlingeN,NA,Noun,0.743,0.296,0.446,58
RuckenN,The body,Noun,0.807,0.361,0.445,59
TropfenN,NA,Noun,0.721,0.276,0.445,60
KopfN,The body,Noun,0.845,0.4,0.445,61
klirrenV,NA,Verb,0.662,0.218,0.445,62
RandN,NA,Noun,0.66,0.22,0.441,63
hustenV,The body,Verb,0.743,0.302,0.441,64
BirkeN,Agriculture and vegetation,Noun,0.808,0.368,0.44,65
LangeN,NA,Noun,0.796,0.357,0.439,66
neunNUM,Quantity,Numerical,0.843,0.405,0.438,67
nehmenV,Possession,Verb,0.706,0.268,0.438,68
KraheN,Animals,Noun,0.741,0.303,0.437,69
laufenV,Motion,Verb,0.707,0.27,0.437,70
nahenV,Clothing and grooming,Verb,0.748,0.312,0.436,71
TurN,The house,Noun,0.706,0.27,0.436,72
SalzN,Food and drink,Noun,0.76,0.325,0.435,73
FliegeN,Animals,Noun,0.798,0.363,0.435,74
SchneeN,The physical world,Noun,0.812,0.377,0.435,75
vollA,Quantity,Adjective,0.815,0.381,0.434,76
FerseN,The body,Noun,0.732,0.298,0.434,77
HitzeN,NA,Noun,0.795,0.362,0.434,78
ZehN,The body,Noun,0.779,0.345,0.433,79
rohA,Food and drink,Adjective,0.74,0.306,0.433,80
OberschenkelN,NA,Noun,0.732,0.299,0.433,81
hellA,Sense perception,Adjective,0.769,0.336,0.433,82
fallenV,Motion,Verb,0.72,0.289,0.431,83
RegenN,The physical world,Noun,0.804,0.374,0.43,84
scharfA,Sense perception,Adjective,0.718,0.288,0.43,85
gutA,Emotions and values,Adjective,0.728,0.298,0.43,86
WindN,The physical world,Noun,0.776,0.348,0.428,87
MonatN,Time,Noun,0.74,0.312,0.427,88
stromenV,NA,Verb,0.71,0.284,0.427,89
SeiteN,NA,Noun,0.721,0.294,0.427,90
SchwanzN,The body,Noun,0.745,0.319,0.426,91
fernA,Spatial relations,Adjective,0.642,0.217,0.425,92
wievielFNUM,Cognition,Interrogative (num.),0.639,0.214,0.425,93
bellenV,NA,Verb,0.691,0.266,0.424,94
WasserN,The physical world,Noun,0.778,0.354,0.424,95
WolfN,Animals,Noun,0.788,0.365,0.423,96
verkaufenV,Possession,Verb,0.777,0.354,0.423,97
MilchN,Food and drink,Noun,0.736,0.314,0.422,98
MoorN,NA,Noun,0.709,0.288,0.421,99
gesternADV,Time,Adverb,0.653,0.232,0.421,100
NagelAnatomieN,NA,Noun,0.743,0.322,0.42,101
LugeN,NA,Noun,0.703,0.283,0.42,102
HoheN,NA,Noun,0.746,0.327,0.419,103
weichA,Sense perception,Adjective,0.711,0.292,0.419,104
sichversammelnV,Social and political relations,Verb,0.663,0.244,0.419,105
hartA,Sense perception,Adjective,0.757,0.338,0.419,106
setzenV,NA,Verb,0.671,0.253,0.418,107
MesserN,Basic actions and technology,Noun,0.72,0.302,0.418,108
schwimmenV,Motion,Verb,0.757,0.339,0.417,109
SaatN,Agriculture and vegetation,Noun,0.676,0.259,0.417,110
HaseN,Animals,Noun,0.771,0.355,0.416,111
faulenV,NA,Verb,0.659,0.244,0.415,112
LeineN,NA,Noun,0.675,0.26,0.415,113
sitzenV,Spatial relations,Verb,0.772,0.357,0.415,114
JahrN,Time,Noun,0.714,0.3,0.414,115
SternN,The physical world,Noun,0.696,0.283,0.414,116
EiN,Food and drink,Noun,0.738,0.325,0.413,117
TraumN,NA,Noun,0.742,0.33,0.412,118
lautenV,NA,Verb,0.65,0.239,0.412,119
zeigenV,Sense perception,Verb,0.697,0.286,0.411,120
zehnNUM,Quantity,Numerical,0.839,0.428,0.411,121
GurtelN,Clothing and grooming,Noun,0.687,0.277,0.411,122
sichschlagenV,NA,Verb,0.713,0.303,0.41,123
FuN,The body,Noun,0.697,0.287,0.409,124
FingerN,The body,Noun,0.734,0.326,0.408,125
langeADV,Time,Adverb,0.7,0.293,0.408,126
kaltA,Sense perception,Adjective,0.802,0.396,0.405,127
dunnA,Spatial relations,Adjective,0.665,0.261,0.404,128
bindenV,Basic actions and technology,Verb,0.732,0.328,0.403,129
letzterA,Quantity,Adjective,0.741,0.338,0.403,130
KnieN,The body,Noun,0.713,0.31,0.403,131
achtzigNUM,NA,Numerical,0.734,0.331,0.403,132
hauenV,NA,Verb,0.666,0.264,0.402,133
sofortADV,NA,Adverb,0.71,0.308,0.402,134
rechterA,Spatial relations,Adjective,0.704,0.302,0.402,135
FlugelN,The body,Noun,0.748,0.347,0.401,136
hebenV,NA,Verb,0.738,0.337,0.4,137
umkommenV,NA,Verb,0.652,0.252,0.4,138
offenA,NA,Adjective,0.746,0.349,0.398,139
funfNUM,Quantity,Numerical,0.828,0.431,0.397,140
soADV,NA,Adverb,0.631,0.234,0.397,141
verstehenV,NA,Verb,0.698,0.304,0.395,142
atmenV,The body,Verb,0.73,0.335,0.394,143
HungerN,NA,Noun,0.726,0.332,0.394,144
schmerzenV,NA,Verb,0.673,0.279,0.394,145
hangenV,NA,Verb,0.732,0.338,0.394,146
dreiNUM,Quantity,Numerical,0.748,0.355,0.393,147
achtNUM,Quantity,Numerical,0.756,0.363,0.393,148
sprechenV,Speech and language,Verb,0.644,0.251,0.393,149
pfluckenV,NA,Verb,0.753,0.36,0.393,150
dreiigNUM,NA,Numerical,0.705,0.313,0.392,151
siedenV,Food and drink,Verb,0.722,0.33,0.392,152
SpurN,NA,Noun,0.717,0.325,0.392,153
GegenstandN,NA,Noun,0.634,0.243,0.392,154
siebenNUM,Quantity,Numerical,0.72,0.329,0.391,155
verfaulenV,NA,Verb,0.643,0.253,0.39,156
rufenV,Speech and language,Verb,0.712,0.322,0.39,157
fullenV,NA,Verb,0.74,0.35,0.389,158
TraneN,Emotions and values,Noun,0.723,0.333,0.389,159
aufgehenSonneV,Motion,Verb,0.698,0.309,0.389,160
zwanzigNUM,Quantity,Numerical,0.827,0.439,0.388,161
hundertNUM,Quantity,Numerical,0.793,0.404,0.388,162
sechzigNUM,NA,Numerical,0.824,0.436,0.388,163
hochhebenV,Motion,Verb,0.721,0.334,0.387,164
MannN,Kinship,Noun,0.755,0.368,0.387,165
HautN,The body,Noun,0.737,0.35,0.387,166
EndeN,Spatial relations,Noun,0.684,0.298,0.386,167
backenV,Food and drink,Verb,0.656,0.271,0.385,168
GangN,NA,Noun,0.643,0.258,0.385,169
zwolfNUM,Quantity,Numerical,0.761,0.377,0.384,170
StrichN,NA,Noun,0.673,0.289,0.384,171
WestenN,Spatial relations,Noun,0.684,0.301,0.383,172
RufN,NA,Noun,0.699,0.317,0.382,173
SilberN,Basic actions and technology,Noun,0.782,0.4,0.382,174
GottN,NA,Noun,0.731,0.349,0.382,175
zusehenseinV,NA,Verb,0.67,0.29,0.38,176
GrundN,NA,Noun,0.721,0.342,0.38,177
einwickelnV,Motion,Verb,0.671,0.293,0.378,178
MadchenN,Kinship,Noun,0.69,0.313,0.378,179
ArmelN,NA,Noun,0.75,0.373,0.377,180
beugenV,Basic actions and technology,Verb,0.733,0.355,0.377,181
KlaueN,The body,Noun,0.763,0.386,0.377,182
BogenWaffeN,Warfare and hunting,Noun,0.773,0.396,0.376,183
schlafenV,The body,Verb,0.744,0.369,0.375,184
FellN,Clothing and grooming,Noun,0.727,0.354,0.373,185
EisenN,Basic actions and technology,Noun,0.825,0.452,0.373,186
hungrigA,Food and drink,Adjective,0.721,0.349,0.372,187
erscheinenV,NA,Verb,0.65,0.279,0.371,188
vierNUM,Quantity,Numerical,0.862,0.491,0.371,189
zerbrechenV,NA,Verb,0.674,0.303,0.371,190
GesprachN,NA,Noun,0.741,0.371,0.371,191
SpinneN,Animals,Noun,0.723,0.352,0.371,192
nahA,Spatial relations,Adjective,0.632,0.262,0.37,193
altA,NA,Adjective,0.702,0.332,0.37,194
morgenADV,Time,Adverb,0.706,0.338,0.368,195
vierzigNUM,NA,Numerical,0.745,0.377,0.368,196
LichtN,The physical world,Noun,0.653,0.285,0.368,197
sammelnV,Spatial relations,Verb,0.638,0.271,0.368,198
KnotenN,Basic actions and technology,Noun,0.686,0.32,0.366,199
anbindenV,NA,Verb,0.624,0.259,0.365,200
HerzN,The body,Noun,0.797,0.432,0.365,201
messenV,Spatial relations,Verb,0.712,0.347,0.365,202
WunschN,NA,Noun,0.708,0.343,0.365,203
rauschenV,NA,Verb,0.668,0.304,0.363,204
stellenV,Spatial relations,Verb,0.675,0.311,0.363,205
zuruckADV,NA,Adverb,0.713,0.351,0.363,206
futternV,NA,Verb,0.678,0.317,0.361,207
AnzahlN,NA,Noun,0.733,0.372,0.361,208
GroeN,NA,Noun,0.682,0.321,0.361,209
AdlerN,Animals,Noun,0.712,0.351,0.361,210
ruckwartsADV,NA,Adverb,0.668,0.308,0.36,211
WetterN,The physical world,Noun,0.735,0.376,0.359,212
MengeN,NA,Noun,0.663,0.304,0.359,213
zuerstADV,NA,Adverb,0.701,0.342,0.359,214
dortADV,Miscellaneous function words,Adverb,0.593,0.234,0.359,215
HeuN,Agriculture and vegetation,Noun,0.816,0.457,0.358,216
aufwachenV,The body,Verb,0.64,0.282,0.358,217
LehmN,Basic actions and technology,Noun,0.724,0.367,0.358,218
sterbenV,The body,Verb,0.731,0.374,0.358,219
GedachtnisN,NA,Noun,0.661,0.304,0.358,220
teilenV,Spatial relations,Verb,0.717,0.36,0.358,221
MuckeN,Animals,Noun,0.728,0.37,0.357,222
dannADV,NA,Adverb,0.663,0.306,0.357,223
EisN,The physical world,Noun,0.778,0.421,0.357,224
BaumN,Agriculture and vegetation,Noun,0.746,0.388,0.357,225
grabenV,Agriculture and vegetation,Verb,0.666,0.308,0.357,226
unterrichtenV,NA,Verb,0.745,0.388,0.357,227
tragenV,Motion,Verb,0.696,0.34,0.357,228
fluchtenV,NA,Verb,0.668,0.312,0.356,229
HimmelN,The physical world,Noun,0.731,0.375,0.356,230
schreibenV,Speech and language,Verb,0.7,0.345,0.355,231
dichtA,NA,Adjective,0.682,0.328,0.355,232
gieenV,NA,Verb,0.72,0.366,0.354,233
siebzigNUM,NA,Numerical,0.674,0.321,0.353,234
TagN,Time,Noun,0.675,0.322,0.353,235
schwarzA,Sense perception,Adjective,0.717,0.364,0.353,236
EhefrauN,Kinship,Noun,0.59,0.238,0.353,237
danachADV,NA,Adverb,0.596,0.243,0.353,238
vorPRP,Spatial relations,Preposition,0.648,0.295,0.352,239
bedeckenV,Spatial relations,Verb,0.666,0.314,0.352,240
MenschN,Kinship,Noun,0.719,0.368,0.351,241
grunA,Sense perception,Adjective,0.788,0.437,0.35,242
weiA,Sense perception,Adjective,0.685,0.335,0.35,243
HornN,The body,Noun,0.795,0.445,0.35,244
bekanntA,NA,Adjective,0.681,0.331,0.349,245
LebenN,The body,Noun,0.74,0.391,0.349,246
jetztADV,Time,Adverb,0.734,0.386,0.349,247
kaufenV,Possession,Verb,0.627,0.279,0.348,248
sehenV,Sense perception,Verb,0.706,0.359,0.348,249
suA,Sense perception,Adjective,0.727,0.38,0.348,250
wissenV,Cognition,Verb,0.726,0.379,0.347,251
untergehenSonneV,NA,Verb,0.656,0.308,0.347,252
verbindenV,NA,Verb,0.727,0.38,0.347,253
geborenwerdenV,The body,Verb,0.675,0.329,0.346,254
NetzN,NA,Noun,0.713,0.367,0.346,255
GriffN,NA,Noun,0.732,0.386,0.346,256
StabN,NA,Noun,0.703,0.358,0.345,257
schmalA,Spatial relations,Adjective,0.691,0.347,0.344,258
ZungeN,The body,Noun,0.783,0.439,0.344,259
GluckN,NA,Noun,0.66,0.316,0.344,260
richtigA,Emotions and values,Adjective,0.712,0.368,0.344,261
wachsenV,Spatial relations,Verb,0.746,0.403,0.343,262
sechsNUM,Quantity,Numerical,0.784,0.441,0.343,263
DonnerN,The physical world,Noun,0.61,0.268,0.342,264
fettA,NA,Adjective,0.792,0.45,0.342,265
ehemaligA,NA,Adjective,0.639,0.297,0.341,266
HandN,The body,Noun,0.734,0.392,0.341,267
dorthinADV,NA,Adverb,0.737,0.396,0.341,268
allesPRN,Quantity,Pronoun,0.644,0.304,0.34,269
stechenV,NA,Verb,0.756,0.416,0.34,270
hinfallenV,NA,Verb,0.686,0.346,0.34,271
alleinADV,Quantity,Adverb,0.689,0.349,0.34,272
bekommenV,Possession,Verb,0.633,0.293,0.34,273
schneidenV,Basic actions and technology,Verb,0.63,0.291,0.34,274
BauchN,The body,Noun,0.725,0.386,0.34,275
WinterN,Time,Noun,0.8,0.462,0.338,276
GeruchN,NA,Noun,0.701,0.364,0.337,277
wasFPRN,Cognition,Interrogative (pronoun),0.712,0.375,0.337,278
abwischenV,Basic actions and technology,Verb,0.721,0.384,0.337,279
kuhlA,NA,Adjective,0.67,0.333,0.337,280
wechselnV,NA,Verb,0.663,0.326,0.337,281
duPRN,Kinship,Pronoun,0.666,0.329,0.336,282
kommenV,Motion,Verb,0.709,0.372,0.336,283
aufhangenV,Basic actions and technology,Verb,0.614,0.278,0.336,284
totenV,The body,Verb,0.716,0.38,0.336,285
scheinenV,Cognition,Verb,0.607,0.271,0.336,286
anzundenV,The physical world,Verb,0.672,0.337,0.335,287
schmelzenV,NA,Verb,0.756,0.421,0.335,288
fischenV,NA,Verb,0.74,0.405,0.335,289
schlagenV,NA,Verb,0.696,0.361,0.335,290
sichsetzenV,NA,Verb,0.625,0.29,0.335,291
LausN,NA,Noun,0.688,0.354,0.334,292
BundelN,NA,Noun,0.662,0.328,0.334,293
dritterA,Quantity,Adjective,0.726,0.393,0.333,294
ZahnN,The body,Noun,0.772,0.439,0.333,295
offnenV,Spatial relations,Verb,0.7,0.367,0.333,296
SchmerzN,Emotions and values,Noun,0.665,0.332,0.333,297
WolleN,Clothing and grooming,Noun,0.75,0.417,0.333,298
nassA,Sense perception,Adjective,0.689,0.357,0.332,299
heiA,Sense perception,Adjective,0.753,0.42,0.332,300
FingernagelN,The body,Noun,0.686,0.354,0.332,301
EssenN,NA,Noun,0.733,0.402,0.332,302
schwingenV,NA,Verb,0.673,0.342,0.331,303
KralleN,The body,Noun,0.684,0.354,0.33,304
HugelN,NA,Noun,0.65,0.32,0.33,305
MitteN,Spatial relations,Noun,0.67,0.34,0.33,306
SeeN,The physical world,Noun,0.791,0.462,0.33,307
BlattN,Agriculture and vegetation,Noun,0.645,0.316,0.329,308
LautN,Sense perception,Noun,0.684,0.357,0.328,309
BrustN,The body,Noun,0.673,0.345,0.328,310
hierhinADV,NA,Adverb,0.669,0.341,0.327,311
ErdeN,NA,Noun,0.703,0.376,0.327,312
SonneN,The physical world,Noun,0.677,0.351,0.326,313
biegenV,NA,Verb,0.717,0.391,0.326,314
HaarN,NA,Noun,0.709,0.383,0.326,315
besitzenV,Possession,Verb,0.726,0.401,0.325,316
SpielN,NA,Noun,0.626,0.301,0.324,317
beherrschenV,Social and political relations,Verb,0.646,0.322,0.324,318
NaseN,The body,Noun,0.7,0.376,0.324,319
schwankenV,NA,Verb,0.527,0.204,0.324,320
SommerN,Time,Noun,0.67,0.346,0.323,321
AstN,NA,Noun,0.713,0.389,0.323,322
FruhlingN,Time,Noun,0.749,0.426,0.323,323
versinkenV,NA,Verb,0.749,0.427,0.323,324
steigenV,NA,Verb,0.705,0.383,0.322,325
hinterPRP,Spatial relations,Preposition,0.627,0.304,0.322,326
wohnenV,The house,Verb,0.686,0.364,0.322,327
reifA,Food and drink,Adjective,0.636,0.314,0.322,328
kaumADV,NA,Adverb,0.616,0.294,0.322,329
KnochenN,The body,Noun,0.724,0.402,0.322,330
SacheN,Possession,Noun,0.685,0.365,0.321,331
oftADV,Time,Adverb,0.62,0.3,0.321,332
wartenV,NA,Verb,0.671,0.351,0.32,333
spulenV,NA,Verb,0.713,0.393,0.32,334
